Weeklyearnings,female,age,agesquared,dropout,hsgrad,somecoll,collgrad,collplus
323,0,22,484,0,1,0,0,0
323,1,50,2500,0,1,0,0,0
323,1,54,2916,0,1,0,0,0
323,1,43,1849,0,1,0,0,0
323,1,19,361,0,1,0,0,0
323,1,23,529,0,0,0,1,0
323,1,41,1681,0,1,0,0,0
323,1,32,1024,0,0,1,0,0
323,0,48,2304,0,0,1,0,0
323.07,1,54,2916,0,0,1,0,0
323.07,1,23,529,0,0,1,0,0
323.07,1,44,1936,0,0,1,0,0
323.07,1,55,3025,0,0,1,0,0
323.07,1,33,1089,0,0,0,1,0
323.07,1,31,961,0,1,0,0,0
323.07,0,24,576,0,1,0,0,0
323.07,0,46,2116,0,1,0,0,0
323.07,1,29,841,0,0,1,0,0
323.07,1,22,484,0,1,0,0,0
323.07,1,32,1024,0,1,0,0,0
323.07,1,49,2401,0,0,1,0,0
323.07,1,41,1681,0,0,1,0,0
323.07,0,30,900,0,1,0,0,0
323.07,1,45,2025,0,1,0,0,0
323.07,1,51,2601,0,1,0,0,0
323.07,1,27,729,0,0,1,0,0
323.75,1,30,900,0,1,0,0,0
324,0,20,400,0,1,0,0,0
324,1,19,361,0,1,0,0,0
324,1,49,2401,0,1,0,0,0
324,0,24,576,0,1,0,0,0
324,1,30,900,0,0,1,0,0
324.12,1,21,441,0,0,1,0,0
324.6,1,37,1369,0,1,0,0,0
325,1,57,3249,1,0,0,0,0
325,1,60,3600,0,0,0,0,1
325,1,44,1936,0,0,0,1,0
325,0,49,2401,0,1,0,0,0
325,1,31,961,0,0,1,0,0
325,0,30,900,0,1,0,0,0
325,0,27,729,0,1,0,0,0
325,1,33,1089,0,0,0,1,0
325,1,53,2809,1,0,0,0,0
325,0,26,676,1,0,0,0,0
325,0,32,1024,0,1,0,0,0
325,1,46,2116,0,1,0,0,0
325,1,58,3364,1,0,0,0,0
325,0,33,1089,0,0,1,0,0
325,0,61,3721,0,1,0,0,0
325,0,22,484,0,0,0,1,0
325,0,41,1681,0,1,0,0,0
325,1,35,1225,0,1,0,0,0
325,0,29,841,0,0,0,1,0
325,0,29,841,0,1,0,0,0
325,1,55,3025,1,0,0,0,0
325,1,62,3844,0,0,1,0,0
325,1,24,576,0,1,0,0,0
325,0,22,484,1,0,0,0,0
325,0,57,3249,0,1,0,0,0
325,1,22,484,0,1,0,0,0
325,1,22,484,0,0,0,1,0
325,0,25,625,0,0,1,0,0
325,0,19,361,1,0,0,0,0
325.2,1,59,3481,0,0,1,0,0
325.8,1,44,1936,0,0,1,0,0
326,1,60,3600,1,0,0,0,0
326,0,24,576,0,0,1,0,0
326,0,29,841,0,0,1,0,0
326,1,31,961,0,0,1,0,0
326,1,28,784,0,1,0,0,0
326,0,57,3249,1,0,0,0,0
326,1,19,361,0,1,0,0,0
326,1,54,2916,0,1,0,0,0
326,1,35,1225,0,1,0,0,0
326,1,48,2304,0,1,0,0,0
326,1,44,1936,0,1,0,0,0
326,1,46,2116,0,1,0,0,0
326,1,35,1225,0,1,0,0,0
326.25,1,51,2601,0,1,0,0,0
326.25,1,43,1849,0,0,1,0,0
326.25,0,53,2809,1,0,0,0,0
326.92,1,54,2916,0,0,0,1,0
326.92,1,33,1089,0,1,0,0,0
326.92,1,62,3844,0,1,0,0,0
326.92,1,45,2025,0,0,1,0,0
326.92,1,42,1764,0,1,0,0,0
326.92,0,52,2704,0,1,0,0,0
326.92,1,40,1600,0,1,0,0,0
326.92,1,41,1681,0,1,0,0,0
326.92,1,28,784,0,1,0,0,0
326.92,0,34,1156,0,0,1,0,0
326.92,0,22,484,0,0,1,0,0
327.2,1,56,3136,1,0,0,0,0
327.5,0,19,361,0,0,1,0,0
327.51,1,22,484,0,1,0,0,0
327.6,0,31,961,0,1,0,0,0
328,1,21,441,0,0,1,0,0
328,0,26,676,0,0,1,0,0
328,1,21,441,0,1,0,0,0
328,0,59,3481,1,0,0,0,0
328,0,59,3481,1,0,0,0,0
328,1,20,400,0,1,0,0,0
328,0,37,1369,0,1,0,0,0
328,0,40,1600,0,0,1,0,0
328,1,35,1225,0,0,1,0,0
328.68,1,28,784,0,0,1,0,0
329.4,1,29,841,0,1,0,0,0
329.4,1,55,3025,0,1,0,0,0
329.6,1,32,1024,0,0,1,0,0
329.7,1,59,3481,0,1,0,0,0
330,1,22,484,0,0,0,1,0
330,1,42,1764,0,1,0,0,0
330,0,22,484,0,0,1,0,0
330,1,51,2601,0,0,1,0,0
330,1,36,1296,0,0,0,1,0
330,1,53,2809,0,1,0,0,0
330,1,22,484,0,0,1,0,0
330,0,40,1600,0,1,0,0,0
330,1,38,1444,0,0,1,0,0
330,1,34,1156,0,1,0,0,0
330,1,30,900,0,0,1,0,0
330,0,38,1444,1,0,0,0,0
330,1,30,900,0,0,1,0,0
330,1,45,2025,0,0,0,1,0
330,1,42,1764,1,0,0,0,0
330,1,55,3025,1,0,0,0,0
330,0,37,1369,1,0,0,0,0
330,1,32,1024,1,0,0,0,0
330,0,52,2704,0,0,1,0,0
330,0,20,400,0,0,1,0,0
330,1,38,1444,0,1,0,0,0
330,0,20,400,0,0,1,0,0
330,0,57,3249,0,1,0,0,0
330,0,57,3249,0,1,0,0,0
330,0,34,1156,0,1,0,0,0
330,0,18,324,1,0,0,0,0
330,0,52,2704,0,1,0,0,0
331,1,43,1849,0,1,0,0,0
331,1,36,1296,0,0,1,0,0
331.25,1,54,2916,0,0,1,0,0
331.4,0,19,361,1,0,0,0,0
332,0,28,784,0,0,1,0,0
332,1,30,900,0,1,0,0,0
332,1,22,484,0,1,0,0,0
332,0,34,1156,0,1,0,0,0
332,1,44,1936,0,1,0,0,0
332,0,39,1521,0,0,1,0,0
332,1,36,1296,0,1,0,0,0
332,1,30,900,0,0,1,0,0
332.3,0,27,729,0,1,0,0,0
332.5,1,47,2209,0,1,0,0,0
332.5,1,48,2304,0,1,0,0,0
332.5,1,29,841,0,1,0,0,0
332.5,1,23,529,0,1,0,0,0
332.5,1,24,576,0,1,0,0,0
332.5,0,20,400,0,1,0,0,0
332.8,0,26,676,0,0,1,0,0
332.8,0,51,2601,0,1,0,0,0
332.8,0,44,1936,0,1,0,0,0
332.88,1,21,441,0,1,0,0,0
333,1,48,2304,0,1,0,0,0
333,1,33,1089,0,0,1,0,0
333,1,30,900,0,0,1,0,0
333,1,31,961,0,0,1,0,0
333,1,32,1024,0,1,0,0,0
333,1,44,1936,0,0,1,0,0
333,1,48,2304,0,0,1,0,0
333.2,1,55,3025,1,0,0,0,0
333.33,1,56,3136,0,0,0,1,0
333.33,1,40,1600,1,0,0,0,0
333.33,0,27,729,0,0,0,0,1
333.33,1,48,2304,0,0,0,0,1
333.4,0,46,2116,0,0,1,0,0
333.5,1,55,3025,0,0,1,0,0
333.5,0,26,676,0,1,0,0,0
333.75,0,20,400,0,1,0,0,0
333.75,0,42,1764,0,0,1,0,0
334,1,25,625,0,0,0,1,0
334.5,1,43,1849,0,0,0,1,0
334.61,1,53,2809,0,0,1,0,0
334.61,1,40,1600,0,1,0,0,0
335,1,36,1296,0,1,0,0,0
335,1,45,2025,0,1,0,0,0
335,0,55,3025,0,0,0,1,0
335.2,1,28,784,0,0,1,0,0
336,1,23,529,0,0,0,1,0
336,1,43,1849,0,0,1,0,0
336,1,38,1444,0,1,0,0,0
336,1,50,2500,0,0,1,0,0
336,1,30,900,0,0,0,1,0
336,0,28,784,0,0,1,0,0
336,1,25,625,1,0,0,0,0
336,0,54,2916,0,1,0,0,0
336.35,1,38,1444,0,1,0,0,0
336.53,1,39,1521,0,0,0,1,0
336.53,1,54,2916,0,1,0,0,0
336.53,1,64,4096,0,0,1,0,0
337.4,1,43,1849,0,1,0,0,0
337.5,0,27,729,0,1,0,0,0
337.5,0,38,1444,0,1,0,0,0
337.5,1,45,2025,0,1,0,0,0
337.81,1,26,676,0,0,0,1,0
338,0,35,1225,0,0,1,0,0
338,1,39,1521,0,0,1,0,0
338,0,21,441,0,1,0,0,0
338,1,48,2304,0,1,0,0,0
338.4,0,34,1156,0,1,0,0,0
339.6,1,64,4096,1,0,0,0,0
339.6,0,51,2601,0,1,0,0,0
340,1,21,441,0,0,1,0,0
340,0,18,324,1,0,0,0,0
340,1,28,784,0,0,1,0,0
340,0,18,324,0,1,0,0,0
340,1,31,961,0,1,0,0,0
340,1,62,3844,0,0,1,0,0
340,1,21,441,0,1,0,0,0
340,0,25,625,1,0,0,0,0
340,0,43,1849,1,0,0,0,0
340,0,25,625,0,1,0,0,0
340,1,32,1024,0,0,1,0,0
340,1,42,1764,0,1,0,0,0
340,0,46,2116,0,1,0,0,0
340,1,22,484,0,0,1,0,0
340,1,28,784,0,1,0,0,0
340,0,18,324,0,1,0,0,0
340,1,18,324,0,1,0,0,0
340,1,35,1225,1,0,0,0,0
340,1,27,729,1,0,0,0,0
340,0,21,441,0,1,0,0,0
340,1,57,3249,1,0,0,0,0
340,0,54,2916,1,0,0,0,0
340,1,25,625,0,1,0,0,0
340,0,37,1369,0,0,0,1,0
340,1,47,2209,1,0,0,0,0
340,0,48,2304,0,0,1,0,0
340,1,46,2116,0,0,1,0,0
340,0,44,1936,0,1,0,0,0
340,0,33,1089,0,1,0,0,0
340,1,42,1764,0,1,0,0,0
340,1,28,784,0,1,0,0,0
340,1,28,784,0,1,0,0,0
340,1,40,1600,0,1,0,0,0
340,0,26,676,0,1,0,0,0
340,1,19,361,0,1,0,0,0
340,0,29,841,1,0,0,0,0
340,0,34,1156,1,0,0,0,0
340,1,21,441,0,1,0,0,0
340,0,43,1849,0,1,0,0,0
340,0,20,400,0,1,0,0,0
340,0,25,625,0,0,1,0,0
340,1,34,1156,0,0,0,1,0
340,1,32,1024,0,1,0,0,0
340,1,26,676,0,0,0,0,1
340,1,24,576,0,1,0,0,0
340,1,42,1764,0,0,1,0,0
340,0,41,1681,0,1,0,0,0
340,0,40,1600,1,0,0,0,0
340,0,25,625,0,0,1,0,0
340,0,20,400,0,1,0,0,0
340,0,42,1764,1,0,0,0,0
340,1,39,1521,0,1,0,0,0
340,0,34,1156,1,0,0,0,0
340,1,53,2809,0,1,0,0,0
340,1,34,1156,0,0,1,0,0
340,0,24,576,1,0,0,0,0
340,0,26,676,1,0,0,0,0
340,0,30,900,0,0,1,0,0
340,0,35,1225,1,0,0,0,0
340,0,28,784,0,1,0,0,0
340,0,22,484,0,1,0,0,0
340,1,44,1936,0,1,0,0,0
340,0,30,900,0,1,0,0,0
340,0,19,361,1,0,0,0,0
340,1,54,2916,0,0,1,0,0
340,1,47,2209,0,1,0,0,0
340,0,24,576,0,1,0,0,0
340,1,42,1764,0,0,1,0,0
340,0,52,2704,0,0,1,0,0
340,1,54,2916,0,1,0,0,0
340,1,53,2809,0,1,0,0,0
340,0,23,529,0,0,1,0,0
340,1,24,576,1,0,0,0,0
340,0,36,1296,0,1,0,0,0
340,0,54,2916,1,0,0,0,0
340,1,23,529,0,0,1,0,0
340,1,32,1024,1,0,0,0,0
340,0,65,4225,0,0,1,0,0
340,0,33,1089,0,1,0,0,0
340,0,23,529,0,0,1,0,0
340,0,31,961,0,1,0,0,0
340,1,57,3249,1,0,0,0,0
340,0,57,3249,0,1,0,0,0
340,1,44,1936,0,1,0,0,0
340,0,45,2025,0,0,1,0,0
340,0,34,1156,1,0,0,0,0
340,0,34,1156,0,1,0,0,0
340,0,28,784,1,0,0,0,0
340,0,36,1296,0,0,0,1,0
340,1,41,1681,0,1,0,0,0
340,0,29,841,0,1,0,0,0
340,0,26,676,0,0,1,0,0
340,1,53,2809,0,0,0,1,0
340,1,46,2116,1,0,0,0,0
340,1,29,841,0,0,0,1,0
340,1,18,324,1,0,0,0,0
340,0,64,4096,0,0,1,0,0
340,0,19,361,1,0,0,0,0
340,0,42,1764,0,0,1,0,0
340,0,32,1024,0,0,1,0,0
340,1,55,3025,0,0,1,0,0
340,0,25,625,0,1,0,0,0
340,0,50,2500,1,0,0,0,0
342,1,25,625,0,0,0,1,0
342,1,40,1600,0,1,0,0,0
342,1,21,441,0,1,0,0,0
342,1,45,2025,0,1,0,0,0
342,0,24,576,1,0,0,0,0
342,1,46,2116,0,1,0,0,0
342,0,43,1849,0,0,0,1,0
342,1,35,1225,0,0,1,0,0
342,1,40,1600,0,1,0,0,0
342.4,1,28,784,0,1,0,0,0
342.4,1,27,729,0,1,0,0,0
342.48,1,39,1521,0,1,0,0,0
342.5,1,37,1369,0,0,1,0,0
342.8,1,43,1849,0,1,0,0,0
342.8,1,52,2704,0,1,0,0,0
343,0,45,2025,0,1,0,0,0
343,0,27,729,0,0,0,1,0
343.8,1,56,3136,0,1,0,0,0
344,0,31,961,0,0,0,1,0
344,1,22,484,1,0,0,0,0
344,0,22,484,0,0,1,0,0
344,0,18,324,0,1,0,0,0
344,1,31,961,0,1,0,0,0
344.4,1,42,1764,0,0,1,0,0
344.4,1,45,2025,0,1,0,0,0
344.47,1,34,1156,0,0,0,1,0
345,1,30,900,0,0,0,1,0
345,1,50,2500,0,1,0,0,0
345,0,33,1089,0,1,0,0,0
345.6,1,50,2500,0,1,0,0,0
345.8,1,56,3136,0,0,1,0,0
346,0,46,2116,0,1,0,0,0
346,0,49,2401,1,0,0,0,0
346,0,44,1936,0,1,0,0,0
346,1,49,2401,0,1,0,0,0
346,0,31,961,0,0,0,1,0
346,0,22,484,0,0,0,1,0
346,0,56,3136,0,0,1,0,0
346,0,57,3249,0,1,0,0,0
346,0,57,3249,0,0,0,1,0
346,0,35,1225,0,0,1,0,0
346,1,40,1600,0,1,0,0,0
346,0,44,1936,0,0,1,0,0
346,0,28,784,0,0,1,0,0
346,1,41,1681,0,1,0,0,0
346,0,35,1225,0,0,1,0,0
346,0,34,1156,0,0,0,1,0
346,0,29,841,0,0,0,1,0
346,0,49,2401,0,1,0,0,0
346,0,28,784,1,0,0,0,0
346,0,24,576,0,0,0,1,0
346,0,28,784,0,0,0,1,0
346,0,34,1156,0,0,1,0,0
346,0,35,1225,0,1,0,0,0
346.15,1,42,1764,0,1,0,0,0
346.15,1,42,1764,0,1,0,0,0
346.15,1,43,1849,0,0,0,1,0
346.15,1,24,576,0,0,0,1,0
346.15,0,41,1681,0,0,0,1,0
346.15,0,20,400,0,0,1,0,0
346.15,1,57,3249,0,0,0,1,0
346.15,0,40,1600,0,0,0,0,1
346.15,0,47,2209,0,1,0,0,0
346.15,0,37,1369,0,1,0,0,0
346.15,1,54,2916,0,0,1,0,0
346.15,1,35,1225,0,1,0,0,0
346.15,1,40,1600,0,0,1,0,0
346.15,0,51,2601,0,0,0,0,1
346.15,1,47,2209,0,0,1,0,0
346.15,0,52,2704,0,0,0,1,0
346.15,1,26,676,0,0,0,1,0
346.15,1,35,1225,0,0,0,0,1
346.15,0,24,576,0,0,0,1,0
346.15,0,24,576,0,0,0,1,0
346.15,0,48,2304,0,1,0,0,0
346.15,1,22,484,0,1,0,0,0
346.15,0,27,729,0,0,0,0,1
346.15,1,29,841,0,1,0,0,0
346.15,1,25,625,0,0,0,1,0
346.15,1,50,2500,0,1,0,0,0
346.15,1,58,3364,0,1,0,0,0
346.15,0,36,1296,0,1,0,0,0
346.15,1,30,900,0,1,0,0,0
346.15,1,34,1156,0,1,0,0,0
346.15,1,51,2601,0,1,0,0,0
346.15,0,25,625,0,0,1,0,0
346.4,1,31,961,0,0,1,0,0
346.4,0,40,1600,0,1,0,0,0
346.5,1,42,1764,0,0,1,0,0
346.8,1,49,2401,1,0,0,0,0
347.5,0,29,841,0,0,0,1,0
348,1,51,2601,1,0,0,0,0
348,0,33,1089,0,1,0,0,0
348.3,1,23,529,0,0,1,0,0
348.5,1,50,2500,0,0,1,0,0
348.75,0,23,529,1,0,0,0,0
349.2,0,19,361,0,1,0,0,0
349.5,0,32,1024,0,0,0,1,0
349.6,1,54,2916,0,0,1,0,0
349.6,0,20,400,1,0,0,0,0
349.84,1,42,1764,0,1,0,0,0
350,1,49,2401,0,1,0,0,0
350,1,44,1936,0,0,1,0,0
350,0,19,361,0,1,0,0,0
350,1,30,900,0,0,1,0,0
350,1,31,961,0,1,0,0,0
350,1,57,3249,0,0,1,0,0
350,1,56,3136,0,1,0,0,0
350,1,34,1156,0,1,0,0,0
350,0,34,1156,0,1,0,0,0
350,0,47,2209,1,0,0,0,0
350,1,23,529,0,1,0,0,0
350,0,31,961,0,1,0,0,0
350,0,24,576,0,0,1,0,0
350,0,28,784,0,0,1,0,0
350,0,21,441,1,0,0,0,0
350,1,58,3364,0,0,0,0,1
350,1,49,2401,1,0,0,0,0
350,1,22,484,0,0,1,0,0
350,1,34,1156,0,1,0,0,0
350,1,42,1764,0,0,1,0,0
350,1,55,3025,1,0,0,0,0
350,1,49,2401,0,0,0,0,1
350,1,29,841,0,1,0,0,0
350,1,36,1296,0,0,0,1,0
350,1,51,2601,1,0,0,0,0
350,1,52,2704,0,0,0,1,0
350,0,32,1024,0,0,1,0,0
350,0,39,1521,0,1,0,0,0
350,1,59,3481,0,1,0,0,0
350,0,29,841,0,0,1,0,0
350,0,34,1156,0,0,1,0,0
350,0,25,625,0,1,0,0,0
350,0,35,1225,0,1,0,0,0
350,1,36,1296,0,1,0,0,0
350,1,64,4096,0,0,1,0,0
350,1,22,484,0,0,1,0,0
350,0,30,900,0,1,0,0,0
350,0,43,1849,0,0,1,0,0
350,1,62,3844,0,0,0,0,1
350,0,65,4225,0,0,0,1,0
350,0,51,2601,1,0,0,0,0
350,1,27,729,1,0,0,0,0
350,0,32,1024,0,1,0,0,0
350,0,25,625,0,1,0,0,0
350,0,36,1296,0,0,1,0,0
350,1,43,1849,1,0,0,0,0
350,1,26,676,1,0,0,0,0
350,0,21,441,0,0,1,0,0
350,0,45,2025,1,0,0,0,0
350,1,21,441,0,0,1,0,0
350,0,39,1521,0,0,1,0,0
350,1,22,484,0,1,0,0,0
350,0,49,2401,0,0,1,0,0
350,1,52,2704,0,1,0,0,0
350,1,23,529,0,1,0,0,0
350,0,35,1225,1,0,0,0,0
350,1,26,676,0,0,1,0,0
350,1,35,1225,0,0,1,0,0
350,1,39,1521,0,1,0,0,0
350,1,23,529,0,0,1,0,0
350,1,44,1936,0,1,0,0,0
350,1,25,625,1,0,0,0,0
350,0,27,729,0,1,0,0,0
350,1,37,1369,0,0,1,0,0
350,1,28,784,1,0,0,0,0
350,1,23,529,0,0,1,0,0
350,0,22,484,0,1,0,0,0
350,1,50,2500,0,1,0,0,0
350,1,44,1936,0,0,1,0,0
350,0,26,676,0,0,1,0,0
350,1,45,2025,0,0,1,0,0
350,0,38,1444,0,1,0,0,0
350,1,29,841,0,1,0,0,0
350,0,42,1764,0,1,0,0,0
350,1,50,2500,0,1,0,0,0
350,1,30,900,0,1,0,0,0
350,0,53,2809,1,0,0,0,0
350,1,61,3721,0,0,1,0,0
350,1,46,2116,0,1,0,0,0
350,1,46,2116,1,0,0,0,0
350,0,33,1089,0,1,0,0,0
350,1,48,2304,0,0,1,0,0
350,0,29,841,0,1,0,0,0
350,1,54,2916,0,1,0,0,0
350,0,51,2601,0,0,0,1,0
350,0,22,484,0,1,0,0,0
350,0,22,484,0,0,1,0,0
350,1,33,1089,0,1,0,0,0
350,0,39,1521,0,1,0,0,0
350,1,39,1521,0,1,0,0,0
350,1,19,361,0,0,1,0,0
350,0,44,1936,0,0,1,0,0
350,1,24,576,0,0,1,0,0
350,0,22,484,0,1,0,0,0
350,1,19,361,1,0,0,0,0
350,0,19,361,0,0,1,0,0
350,1,29,841,0,0,1,0,0
350,1,47,2209,0,1,0,0,0
350,0,40,1600,0,1,0,0,0
350,1,33,1089,0,1,0,0,0
350,1,55,3025,0,0,1,0,0
350,1,41,1681,0,0,1,0,0
350,0,20,400,0,1,0,0,0
350,1,25,625,0,1,0,0,0
350,0,34,1156,0,1,0,0,0
350,1,56,3136,1,0,0,0,0
350,1,49,2401,1,0,0,0,0
350,1,31,961,0,0,1,0,0
350,0,30,900,0,0,0,1,0
350,0,32,1024,0,1,0,0,0
350,1,30,900,0,0,1,0,0
350,0,31,961,0,1,0,0,0
350,0,40,1600,0,0,1,0,0
350.5,1,32,1024,0,0,1,0,0
350.76,1,57,3249,0,1,0,0,0
350.8,0,32,1024,0,0,1,0,0
350.8,0,33,1089,0,1,0,0,0
351,1,43,1849,0,0,1,0,0
351,1,52,2704,0,0,1,0,0
351.2,1,54,2916,0,1,0,0,0
351.2,1,49,2401,0,1,0,0,0
351.5,1,52,2704,0,1,0,0,0
351.68,1,55,3025,1,0,0,0,0
352,1,36,1296,0,1,0,0,0
352,0,32,1024,1,0,0,0,0
352,1,47,2209,0,0,0,0,1
352,0,23,529,0,1,0,0,0
352,1,39,1521,0,0,0,0,1
352,0,60,3600,0,0,0,1,0
352,0,49,2401,0,1,0,0,0
352,1,37,1369,0,0,1,0,0
352.25,1,25,625,0,0,1,0,0
352.5,0,28,784,0,0,0,1,0
352.5,0,21,441,0,1,0,0,0
352.5,1,46,2116,0,1,0,0,0
352.8,1,42,1764,0,0,1,0,0
352.8,1,36,1296,0,0,1,0,0
353,0,48,2304,0,0,1,0,0
353,0,34,1156,0,1,0,0,0
353.2,0,33,1089,0,1,0,0,0
353.2,0,34,1156,0,0,1,0,0
353.75,1,23,529,0,0,1,0,0
354,1,31,961,0,0,1,0,0
354,1,47,2209,0,0,0,1,0
354,1,43,1849,0,0,0,1,0
354.4,1,50,2500,0,1,0,0,0
355,1,30,900,0,1,0,0,0
355,0,21,441,0,0,1,0,0
355,1,25,625,0,0,1,0,0
355.76,1,57,3249,1,0,0,0,0
355.76,1,30,900,0,1,0,0,0
355.76,0,23,529,0,1,0,0,0
355.76,0,28,784,0,1,0,0,0
356,0,45,2025,0,0,1,0,0
356,0,31,961,0,0,0,1,0
356,1,44,1936,1,0,0,0,0
356,0,39,1521,0,0,0,1,0
356,1,52,2704,1,0,0,0,0
356.44,0,32,1024,1,0,0,0,0
357,1,28,784,0,0,1,0,0
357.5,1,30,900,0,0,1,0,0
357.6,1,41,1681,0,1,0,0,0
357.69,1,42,1764,0,0,0,1,0
357.69,1,23,529,0,0,0,1,0
357.69,0,23,529,0,0,0,1,0
357.69,1,27,729,0,0,1,0,0
358,0,28,784,0,1,0,0,0
358,1,47,2209,0,1,0,0,0
358,0,30,900,0,0,1,0,0
358,0,51,2601,0,1,0,0,0
358.8,0,31,961,0,1,0,0,0
358.8,1,49,2401,0,0,1,0,0
359,1,23,529,0,0,0,1,0
359,1,65,4225,0,1,0,0,0
359.2,1,22,484,0,1,0,0,0
360,1,24,576,0,1,0,0,0
360,1,41,1681,0,0,1,0,0
360,1,32,1024,0,1,0,0,0
360,0,24,576,0,1,0,0,0
360,0,23,529,0,1,0,0,0
360,0,42,1764,0,1,0,0,0
360,0,29,841,0,1,0,0,0
360,1,43,1849,0,1,0,0,0
360,0,31,961,0,1,0,0,0
360,0,20,400,0,1,0,0,0
360,0,19,361,0,1,0,0,0
360,0,46,2116,1,0,0,0,0
360,1,50,2500,0,1,0,0,0
360,1,27,729,0,1,0,0,0
360,0,54,2916,0,1,0,0,0
360,1,24,576,0,1,0,0,0
360,0,22,484,0,1,0,0,0
360,1,35,1225,0,0,1,0,0
360,0,31,961,0,1,0,0,0
360,0,65,4225,0,1,0,0,0
360,1,48,2304,0,1,0,0,0
360,0,43,1849,0,0,1,0,0
360,0,43,1849,1,0,0,0,0
360,0,25,625,1,0,0,0,0
360,0,53,2809,1,0,0,0,0
360,0,44,1936,0,0,1,0,0
360,0,22,484,0,0,1,0,0
360,0,24,576,0,0,1,0,0
360,0,37,1369,0,1,0,0,0
360,0,18,324,0,0,1,0,0
360,1,59,3481,0,0,0,1,0
360,0,53,2809,0,0,1,0,0
360,0,40,1600,1,0,0,0,0
360,0,21,441,0,1,0,0,0
360,1,27,729,0,1,0,0,0
360,1,22,484,0,1,0,0,0
360,0,49,2401,0,1,0,0,0
360,0,34,1156,0,0,0,0,1
360,1,24,576,0,0,1,0,0
360,0,35,1225,0,1,0,0,0
360,0,23,529,1,0,0,0,0
360,0,42,1764,0,1,0,0,0
360,1,45,2025,0,1,0,0,0
360,0,42,1764,0,1,0,0,0
360,0,39,1521,1,0,0,0,0
360,1,30,900,0,0,1,0,0
360,1,42,1764,0,1,0,0,0
360,0,30,900,0,1,0,0,0
360,0,42,1764,0,1,0,0,0
360,1,29,841,0,1,0,0,0
360,0,36,1296,0,0,1,0,0
360,1,48,2304,0,1,0,0,0
360,1,23,529,0,0,1,0,0
360,0,56,3136,0,0,1,0,0
360,1,49,2401,0,1,0,0,0
360,1,51,2601,0,1,0,0,0
360,0,20,400,0,1,0,0,0
360,1,30,900,0,1,0,0,0
360,0,38,1444,1,0,0,0,0
360,0,25,625,0,1,0,0,0
360,1,45,2025,1,0,0,0,0
360,0,19,361,0,1,0,0,0
360,0,26,676,0,0,1,0,0
360,0,21,441,0,0,1,0,0
360,0,20,400,0,0,1,0,0
360,1,24,576,0,0,1,0,0
360,1,43,1849,0,1,0,0,0
360,0,35,1225,0,0,1,0,0
360,0,25,625,0,1,0,0,0
360,1,27,729,0,0,1,0,0
360,1,22,484,0,0,1,0,0
360,0,44,1936,0,0,1,0,0
360,1,48,2304,0,1,0,0,0
360,1,50,2500,0,0,1,0,0
360,0,55,3025,0,0,0,1,0
360,0,27,729,0,0,1,0,0
360,0,27,729,0,1,0,0,0
360,1,33,1089,0,1,0,0,0
360,0,27,729,0,1,0,0,0
360,1,45,2025,1,0,0,0,0
360,0,21,441,0,1,0,0,0
360,1,30,900,0,0,1,0,0
360,1,34,1156,1,0,0,0,0
360,0,44,1936,0,0,1,0,0
360,0,56,3136,0,0,0,0,1
360,1,20,400,0,0,1,0,0
360,1,65,4225,0,0,1,0,0
360,0,22,484,1,0,0,0,0
360,0,23,529,1,0,0,0,0
360,0,27,729,1,0,0,0,0
360,0,37,1369,1,0,0,0,0
360,1,53,2809,0,1,0,0,0
360,1,25,625,0,1,0,0,0
360,1,22,484,0,1,0,0,0
360,1,53,2809,0,1,0,0,0
360,1,41,1681,0,0,1,0,0
360,1,47,2209,0,1,0,0,0
360,1,34,1156,0,0,1,0,0
360,0,44,1936,0,0,1,0,0
360,0,64,4096,0,1,0,0,0
360,0,44,1936,0,0,0,1,0
360,0,46,2116,0,0,1,0,0
360,0,59,3481,1,0,0,0,0
360,1,44,1936,0,0,1,0,0
360,0,65,4225,0,0,1,0,0
360,1,34,1156,0,1,0,0,0
360,0,19,361,0,1,0,0,0
360,1,27,729,0,0,0,1,0
360,1,45,2025,1,0,0,0,0
360,0,45,2025,0,0,1,0,0
360,1,53,2809,0,1,0,0,0
360,0,41,1681,0,1,0,0,0
360,0,22,484,0,1,0,0,0
360,1,21,441,0,1,0,0,0
360,1,37,1369,1,0,0,0,0
360,0,18,324,0,1,0,0,0
360,0,37,1369,1,0,0,0,0
360,1,50,2500,0,1,0,0,0
360,1,44,1936,0,1,0,0,0
360,1,48,2304,0,0,0,1,0
360,1,25,625,0,1,0,0,0
360,0,57,3249,1,0,0,0,0
360,1,24,576,0,0,1,0,0
360,1,46,2116,0,0,1,0,0
360,0,24,576,0,1,0,0,0
360,1,52,2704,0,1,0,0,0
360,1,31,961,0,1,0,0,0
360,0,48,2304,0,1,0,0,0
360,1,35,1225,0,0,0,1,0
360,1,29,841,0,1,0,0,0
360,1,28,784,0,1,0,0,0
360,0,39,1521,0,0,1,0,0
360,1,34,1156,0,0,1,0,0
360,1,48,2304,0,0,0,0,1
360,0,46,2116,1,0,0,0,0
360,1,31,961,0,0,1,0,0
360,1,34,1156,0,0,1,0,0
360,1,40,1600,0,1,0,0,0
360,1,26,676,1,0,0,0,0
360,0,43,1849,1,0,0,0,0
360,1,26,676,0,0,0,1,0
360,1,51,2601,0,1,0,0,0
360,1,32,1024,0,0,1,0,0
