Weeklyearnings,female,age,agesquared,dropout,hsgrad,somecoll,collgrad,collplus
57.3,1,27,729,0,0,1,0,0
57.5,0,22,484,0,0,1,0,0
57.69,0,21,441,0,0,1,0,0
57.69,1,37,1369,1,0,0,0,0
57.69,1,22,484,0,0,1,0,0
57.69,1,18,324,0,0,1,0,0
57.75,1,33,1089,0,1,0,0,0
58.5,0,18,324,1,0,0,0,0
60,1,18,324,0,1,0,0,0
60,1,19,361,0,0,1,0,0
60,1,19,361,0,0,1,0,0
60,0,63,3969,0,0,0,1,0
60,1,22,484,0,1,0,0,0
60,1,20,400,0,0,1,0,0
60,1,37,1369,0,1,0,0,0
60,1,38,1444,0,1,0,0,0
60,1,18,324,0,1,0,0,0
60,1,25,625,0,0,1,0,0
60,1,48,2304,0,0,0,1,0
60,1,59,3481,0,1,0,0,0
60,1,19,361,0,1,0,0,0
60,1,19,361,0,1,0,0,0
60,0,19,361,1,0,0,0,0
60,1,55,3025,0,0,0,1,0
60,1,18,324,1,0,0,0,0
60,1,46,2116,0,1,0,0,0
60,1,46,2116,0,0,1,0,0
60,1,18,324,1,0,0,0,0
60,1,26,676,0,0,1,0,0
61.8,1,20,400,0,0,1,0,0
61.8,0,22,484,0,0,1,0,0
62,0,22,484,0,0,1,0,0
62.5,1,24,576,0,1,0,0,0
62.5,1,21,441,0,1,0,0,0
62.7,1,19,361,1,0,0,0,0
62.9,0,18,324,1,0,0,0,0
63,1,21,441,0,0,1,0,0
63,1,21,441,0,0,1,0,0
63,1,20,400,1,0,0,0,0
63,0,18,324,0,0,1,0,0
63.25,1,59,3481,0,0,1,0,0
63.46,1,27,729,0,0,0,1,0
64,1,22,484,0,0,1,0,0
64,1,20,400,0,0,1,0,0
64,0,29,841,0,0,0,1,0
65,1,23,529,0,0,1,0,0
65,0,19,361,0,0,1,0,0
66,1,54,2916,0,0,0,1,0
66,0,18,324,1,0,0,0,0
66,0,18,324,1,0,0,0,0
66,0,65,4225,0,0,0,0,1
66,0,19,361,0,0,1,0,0
66,0,21,441,0,0,1,0,0
66.46,1,42,1764,0,1,0,0,0
66.66,0,20,400,0,0,1,0,0
67,0,18,324,1,0,0,0,0
67.5,0,24,576,0,0,0,1,0
67.8,0,36,1296,0,0,1,0,0
68,0,55,3025,1,0,0,0,0
68.25,1,20,400,0,0,1,0,0
69,1,36,1296,0,0,1,0,0
69.23,1,29,841,0,0,0,1,0
69.23,1,41,1681,0,0,1,0,0
70,1,47,2209,0,0,0,1,0
70,0,58,3364,1,0,0,0,0
70,1,20,400,0,0,1,0,0
70,0,20,400,0,0,1,0,0
70,1,54,2916,0,1,0,0,0
70,1,30,900,0,0,1,0,0
70,1,27,729,0,1,0,0,0
70,0,21,441,0,1,0,0,0
70,1,20,400,0,0,1,0,0
70,0,50,2500,0,1,0,0,0
72,0,18,324,0,1,0,0,0
72,1,18,324,1,0,0,0,0
72,1,18,324,0,0,1,0,0
72,1,27,729,0,0,0,1,0
72,1,18,324,1,0,0,0,0
72,1,63,3969,1,0,0,0,0
72,0,55,3025,0,0,1,0,0
72,1,34,1156,0,1,0,0,0
72,0,22,484,0,0,1,0,0
72,1,20,400,0,0,1,0,0
74,0,23,529,0,0,1,0,0
75,1,38,1444,0,1,0,0,0
75,1,56,3136,1,0,0,0,0
75,1,55,3025,0,1,0,0,0
75,1,32,1024,0,0,1,0,0
75,0,22,484,0,0,1,0,0
75,1,36,1296,0,1,0,0,0
75,0,59,3481,0,1,0,0,0
75,1,40,1600,0,0,0,1,0
75,1,20,400,0,0,1,0,0
75,1,48,2304,0,1,0,0,0
75,1,24,576,0,1,0,0,0
75,1,63,3969,0,1,0,0,0
75,1,20,400,0,0,1,0,0
75,1,19,361,0,1,0,0,0
75,0,45,2025,0,0,0,0,1
76,1,38,1444,0,0,0,1,0
76,1,37,1369,0,0,0,1,0
76,1,22,484,0,0,1,0,0
76,1,37,1369,0,0,0,1,0
76,1,23,529,0,0,1,0,0
76.92,1,52,2704,0,0,0,0,1
76.92,1,25,625,0,1,0,0,0
77,1,44,1936,0,0,1,0,0
77.25,1,18,324,0,0,1,0,0
77.25,1,21,441,0,0,1,0,0
78,1,55,3025,0,1,0,0,0
78,1,33,1089,0,1,0,0,0
78,0,45,2025,0,1,0,0,0
78,1,48,2304,1,0,0,0,0
78,1,19,361,0,0,1,0,0
78.75,1,18,324,1,0,0,0,0
78.75,0,18,324,1,0,0,0,0
78.75,1,21,441,0,0,1,0,0
80,1,40,1600,0,1,0,0,0
80,1,22,484,0,0,1,0,0
80,1,32,1024,0,0,1,0,0
80,0,23,529,0,0,1,0,0
80,1,19,361,0,0,1,0,0
80,1,19,361,0,0,1,0,0
80,1,26,676,0,1,0,0,0
80,1,53,2809,0,1,0,0,0
80,0,63,3969,1,0,0,0,0
80,0,18,324,1,0,0,0,0
80,1,35,1225,0,1,0,0,0
80,1,20,400,0,0,1,0,0
80.25,1,20,400,0,0,1,0,0
80.5,0,19,361,0,1,0,0,0
81,1,19,361,0,0,1,0,0
82.4,0,22,484,0,0,1,0,0
82.5,1,26,676,0,0,1,0,0
82.5,0,18,324,0,0,1,0,0
82.5,1,18,324,1,0,0,0,0
82.5,0,18,324,0,1,0,0,0
82.5,0,53,2809,1,0,0,0,0
84,1,44,1936,0,1,0,0,0
